Name,Model,#Data,#Feat,Runtime
1069_bac,sgd,337,36,0.0018918514251708984
1069_bac,dt,337,36,0.001399993896484375
1069_bac,sgd,337,36,0.0019390583038330078
1069_bac,dt,337,36,0.0017437934875488281
1069_bac,sgd,337,36,0.0019249916076660156
1069_bac,dt,337,36,0.0012900829315185547
1069_bac,sgd,337,36,0.001889944076538086
1069_bac,dt,337,36,0.0012578964233398438
1069_bac,sgd,337,36,0.0019199848175048828
1069_bac,dt,337,36,0.0016911029815673828
1069_bac,sgd,337,36,0.0019481182098388672
1069_bac,dt,412,36,0.001870870590209961
1069_bac,sgd,412,36,0.002199888229370117
1069_bac,dt,412,36,0.0013959407806396484
1069_bac,sgd,412,36,0.0020599365234375
1069_bac,dt,412,36,0.0013668537139892578
1069_bac,sgd,412,36,0.00209808349609375
1069_bac,dt,412,36,0.0013549327850341797
1069_bac,sgd,412,36,0.002012968063354492
1069_bac,dt,412,36,0.0018951892852783203
1069_bac,sgd,412,36,0.0020439624786376953
1069_bac,dt,412,36,0.001569986343383789
1069_bac,sgd,412,36,0.0021028518676757812
1069_bac,dt,412,36,0.002346038818359375
1069_bac,sgd,412,36,0.0021479129791259766
1069_bac,dt,412,36,0.0018000602722167969
1069_bac,sgd,412,36,0.002065896987915039
1069_bac,dt,412,36,0.0013489723205566406
1069_bac,sgd,412,36,0.002064943313598633
1069_bac,dt,412,36,0.0019350051879882812
1069_bac,sgd,412,36,0.002084016799926758
1069_bac,dt,487,36,0.0019659996032714844
1069_bac,sgd,487,36,0.002229928970336914
1069_bac,dt,487,36,0.0014660358428955078
1069_bac,sgd,487,36,0.0022079944610595703
1069_bac,dt,487,36,0.0019409656524658203
1069_bac,sgd,487,36,0.002257108688354492
1069_bac,dt,487,36,0.0014579296112060547
1069_bac,sgd,487,36,0.0022330284118652344
1069_bac,dt,487,36,0.0020689964294433594
1069_bac,sgd,487,36,0.0022339820861816406
1069_bac,dt,487,36,0.002165079116821289
1069_bac,sgd,487,36,0.0021979808807373047
1069_bac,dt,487,36,0.0025489330291748047
1069_bac,sgd,487,36,0.002438068389892578
1069_bac,dt,487,36,0.0015239715576171875
1069_bac,sgd,487,36,0.0022449493408203125
1069_bac,dt,487,36,0.0020978450775146484
1069_bac,sgd,487,36,0.0022149085998535156
1069_bac,dt,487,36,0.002154111862182617
1069_bac,sgd,487,36,0.0021860599517822266
1069_bac,dt,562,36,0.0032072067260742188
1069_bac,sgd,562,36,0.002526998519897461
1069_bac,dt,562,36,0.002093076705932617
1069_bac,sgd,562,36,0.002405881881713867
1069_bac,dt,562,36,0.0021750926971435547
1069_bac,sgd,562,36,0.002354860305786133
1069_bac,dt,562,36,0.0015938282012939453
1069_bac,sgd,562,36,0.00238800048828125
1069_bac,dt,562,36,0.0028350353240966797
1069_bac,sgd,562,36,0.002360105514526367
