,Dimensons,Dimensons,a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N))
,N,K,true,pred.,%diff,%uncertainity
740_bac__rf,664.0,10.0,0.0215,0.028766649890322855,33.79837158289701,2.4943588003958195
741_bac__rf,680.0,5.0,0.0146,0.018371581714014817,25.832751465854912,3.514159708687799
743_bac__rf,664.0,5.0,0.0179,0.02470860826135974,38.0369176612276,7.221021683607041
751_bac__rf,664.0,10.0,0.0214,0.02973371623340972,38.94259922154075,2.4430826756268997
752_bac__rf,5434.0,32.0,0.3034,0.8540961783179302,181.50829872047797,6.391313862056675
761_bac__rf,5434.0,21.0,0.1202,0.3606460414415143,200.0383040278821,6.995236832253607
772_bac__rf,1445.0,3.0,0.027,0.048146886984032904,78.32180364456632,5.929633923851142
797_bac__rf,664.0,50.0,0.0353,0.05282115656457094,49.6350044322123,2.6831129147975625
799_bac__rf,664.0,5.0,0.0181,0.023989657849219005,32.539546128281785,3.4052816769459135
803_bac__rf,4729.0,5.0,0.049,0.14852155353754798,203.10521130111832,6.846803766252295
806_bac__rf,664.0,50.0,0.0367,0.05314071247247482,44.79758166886871,2.526509965363929
807_bac__rf,5434.0,8.0,0.106,0.3226816363565886,204.41663807225342,6.7293622426629
813_bac__rf,664.0,5.0,0.018,0.0233310105091398,29.616725050776672,3.4789290737621923
816_bac__rf,5434.0,8.0,0.1209,0.3477970866639839,187.6733553879106,6.7622023363137505
819_bac__rf,6313.0,6.0,0.0643,0.20377450673327668,216.91214110929502,7.429013152013737
821_bac__rf,15113.0,16.0,0.5129,1.5780236249838786,207.66691849948893,7.590709916506159
822_bac__rf,13690.0,8.0,0.2273,0.7347282799144297,223.24165416384938,9.829565017961096
823_bac__rf,13690.0,8.0,0.157,0.5184921187770691,230.24975718284657,8.274641999576946
833_bac__rf,5434.0,32.0,0.2432,0.7487773576824939,207.885426678657,7.2264034463456195
837_bac__rf,664.0,50.0,0.0356,0.05475371698230218,53.802575792983646,2.258651877461892
843_bac__rf,15113.0,8.0,0.2633,0.8243600132517368,213.08773765732505,7.768190249014588
845_bac__rf,664.0,10.0,0.0215,0.030646947941811394,42.54394391540184,2.5676376620608554
846_bac__rf,11010.0,18.0,0.1711,0.5818064289550192,240.03882463765,8.077969864145345
847_bac__rf,4360.0,14.0,0.0807,0.2556295460457861,216.76523673579445,6.9187248380314506
849_bac__rf,664.0,25.0,0.0284,0.04221494649009978,48.64417778204148,2.6605154287874195
866_bac__rf,664.0,50.0,0.0353,0.05424392233920333,53.665502377346556,3.193803364960295
871_bac__rf,2553.0,5.0,0.0699,0.17083112217466076,144.39359395516558,5.38127183389995
881_bac__rf,27041.0,14.0,0.3143,1.0274098673770706,226.88828106174688,9.375328316978722
897_bac__rf,770.0,69.0,0.0173,0.030437225916708437,75.93772206189848,98.6405788550905
901_bac__rf,27041.0,10.0,0.6429,2.2125565219044914,244.15251546189006,8.90648074496551
903_bac__rf,664.0,25.0,0.0285,0.04200955402007867,47.4019439301006,2.2911420144215975
904_bac__rf,664.0,50.0,0.0357,0.054247799436403704,51.954620270038376,2.9848759791294146
910_bac__rf,664.0,10.0,0.0209,0.029273489770329918,40.06454435564555,3.055620578806602
912_bac__rf,664.0,5.0,0.0178,0.02334804112171478,31.16877034671225,2.2254328829090846
913_bac__rf,664.0,10.0,0.0212,0.029246097181630754,37.95328859259789,3.2126033569133394
914_bac__rf,1327.0,1.0,0.0142,0.01906590562392227,34.2669410135371,4.2274947526716575
917_bac__rf,664.0,25.0,0.0278,0.04114629225804989,48.008245532553566,2.8925335481015906
